,Date,Bitcoin,C,B,S
211,2018-02-05,6914.26,73.27,0.3242127321414862,0.6954382826475847
212,2018-02-06,7700.3863,74.82,0.36831389168941425,0.7647584973166364
213,2018-02-07,7581.8038,74.99,0.3616614927656126,0.7723613595706618
214,2018-02-08,8237.2363,71.87,0.39843081756163756,0.6328264758497317
215,2018-02-09,8689.8388,73.68,0.4238215150415349,0.7137745974955281
216,2018-02-12,8891.2125,74.76,0.4351184449018597,0.7620751341681578
217,2018-02-13,8516.2438,75.18,0.414082951668547,0.7808586762075138
218,2018-02-14,9477.84,76.71,0.4680278552252418,0.8492844364937384
219,2018-02-15,10016.4888,77.08,0.4982456925741512,0.8658318425760285
220,2018-02-16,10178.7125,76.82,0.507346333624012,0.8542039355992843
221,2018-02-20,11228.2413,76.46,0.5662241972178715,0.8381037567084078
222,2018-02-21,10456.1725,77.0,0.5229116540161273,0.8622540250447228
223,2018-02-22,9830.4263,76.27,0.487807710791343,0.8296064400715562
224,2018-02-23,10149.4625,77.08,0.5057054281909068,0.8658318425760285
225,2018-02-26,10313.0825,77.65,0.5148844007367077,0.8913237924865833
226,2018-02-27,10564.4188,76.38,0.5289841990343678,0.8345259391771016
227,2018-02-28,10309.6413,75.49,0.5146913517187109,0.7947227191413235
228,2018-03-01,10907.59,73.66,0.5482358737887348,0.712880143112701
229,2018-03-02,11019.5213,73.68,0.5545151448418811,0.7137745974955281
230,2018-03-05,11432.9825,74.42,0.5777100415754948,0.7468694096601074
231,2018-03-06,10709.5275,74.06,0.5371247000333708,0.7307692307692308
232,2018-03-07,9906.8,73.92,0.4920922242708763,0.7245080500894456
233,2018-03-08,9299.2838,74.11,0.45801097185106665,0.7330053667262968
234,2018-03-09,9237.05,76.11,0.45451969730259545,0.8224508050089443
235,2018-03-12,9118.2713,76.02,0.4478562916900426,0.818425760286225
236,2018-03-13,9144.1475,74.91,0.44930792920006357,0.7687835420393556
237,2018-03-14,8196.8975,73.47,0.39616783786642573,0.7043828264758498
238,2018-03-15,8256.9938,73.34,0.39953920009478544,0.6985688729874777
239,2018-03-16,8269.3275,73.47,0.4002311124141115,0.7043828264758498
240,2018-03-19,8594.1913,72.7,0.418455754275281,0.6699463327370303
241,2018-03-20,8915.9038,72.92,0.436503610314524,0.6797853309481217
242,2018-03-21,8895.4,73.32,0.4353533608506162,0.6976744186046506
243,2018-03-22,8712.8913,70.31,0.4251147448704805,0.5630590339892665
244,2018-03-23,8918.7438,67.9,0.43666293241469556,0.45527728085867647
245,2018-03-26,8138.3363,69.78,0.3928825937211553,0.539355992844365
246,2018-03-27,7790.1575,68.28,0.37334999595664076,0.47227191413237923
